sample	unit	fq1	fq2
D0_NPC_1	1	CP604-S10-001L0001_good_R1.fastq.gz	CP604-S10-001L0001_good_R2.fastq.gz
D0_NPC_2	1	CP604-S10-001L0002_good_R1.fastq.gz	CP604-S10-001L0002_good_R2.fastq.gz
D0_NPC_3	1	CP604-S10-001L0003_good_R1.fastq.gz	CP604-S10-001L0003_good_R2.fastq.gz
D0_NPC_4	1	CP604-S10-001L0004_good_R1.fastq.gz	CP604-S10-001L0004_good_R2.fastq.gz
D0_NGN2_NPC_1	1	CP604-S10-001L0005_good_R1.fastq.gz	CP604-S10-001L0005_good_R2.fastq.gz
D0_NGN2_NPC_2	1	CP604-S10-001L0006_good_R1.fastq.gz	CP604-S10-001L0006_good_R2.fastq.gz
D0_NGN2_NPC_3	1	CP604-S10-001L0007_good_R1.fastq.gz	CP604-S10-001L0007_good_R2.fastq.gz
D7_FGF2_NEURON_1	1	CP604-S10-001L0008_good_R1.fastq.gz	CP604-S10-001L0008_good_R2.fastq.gz
D7_FGF2_NEURON_2	1	CP604-S10-001L0009_good_R1.fastq.gz	CP604-S10-001L0009_good_R2.fastq.gz
D7_FGF2_NEURON_3	1	CP604-S10-001L0010_good_R1.fastq.gz	CP604-S10-001L0010_good_R2.fastq.gz
D7_NGN2_NEURON_1	1	CP604-S10-001L0011_good_R1.fastq.gz	CP604-S10-001L0011_good_R2.fastq.gz
D7_NGN2_NEURON_2	1	CP604-S10-001L0012_good_R1.fastq.gz	CP604-S10-001L0012_good_R2.fastq.gz
D7_NGN2_NEURON_3	1	CP604-S10-001L0013_good_R1.fastq.gz	CP604-S10-001L0013_good_R2.fastq.gz
D7_NGN2_NEURON_4	1	CP604-S10-001L0014_good_R1.fastq.gz	CP604-S10-001L0014_good_R2.fastq.gz
D14_FGF2_NEURON_1	1	CP604-S10-001L0015_good_R1.fastq.gz	CP604-S10-001L0015_good_R2.fastq.gz
D14_FGF2_NEURON_2	1	CP604-S10-001L0016_good_R1.fastq.gz	CP604-S10-001L0016_good_R2.fastq.gz
D14_FGF2_NEURON_3	1	CP604-S10-001L0017_good_R1.fastq.gz	CP604-S10-001L0017_good_R2.fastq.gz
D14_NGN2_NEURON_1	1	CP604-S10-001L0018_good_R1.fastq.gz	CP604-S10-001L0018_good_R2.fastq.gz
D14_NGN2_NEURON_2	1	CP604-S10-001L0019_good_R1.fastq.gz	CP604-S10-001L0019_good_R2.fastq.gz
D14_NGN2_NEURON_3	1	CP604-S10-001L0020_good_R1.fastq.gz	CP604-S10-001L0020_good_R2.fastq.gz
D14_NGN2_NEURON_4	1	CP604-S10-001L0021_good_R1.fastq.gz	CP604-S10-001L0021_good_R2.fastq.gz
D21_FGF2_NEURON_1	1	CP604-S10-001L0022_good_R1.fastq.gz	CP604-S10-001L0022_good_R2.fastq.gz
D21_FGF2_NEURON_2	1	CP604-S10-001L0023_good_R1.fastq.gz	CP604-S10-001L0023_good_R2.fastq.gz
D21_FGF2_NEURON_3	1	CP604-S10-001L0024_good_R1.fastq.gz	CP604-S10-001L0024_good_R2.fastq.gz
D21_iN_NEURON_1	1	CP604-S10-001L0025_good_R1.fastq.gz	CP604-S10-001L0025_good_R2.fastq.gz
D21_iN_NEURON_2	1	CP604-S10-001L0026_good_R1.fastq.gz	CP604-S10-001L0026_good_R2.fastq.gz
D21_iN_NEURON_3	1	CP604-S10-001L0027_good_R1.fastq.gz	CP604-S10-001L0027_good_R2.fastq.gz
D21_NGN2_NEURON_1	1	CP604-S10-001L0028_good_R1.fastq.gz	CP604-S10-001L0028_good_R2.fastq.gz
D21_NGN2_NEURON_2	1	CP604-S10-001L0029_good_R1.fastq.gz	CP604-S10-001L0029_good_R2.fastq.gz
D21_NGN2_NEURON_3	1	CP604-S10-001L0030_good_R1.fastq.gz	CP604-S10-001L0030_good_R2.fastq.gz
D21_NGN2_NEURON_4	1	CP604-S10-001L0031_good_R1.fastq.gz	CP604-S10-001L0031_good_R2.fastq.gz
D28_FGF2_NEURON_1	1	CP604-S10-001L0032_good_R1.fastq.gz	CP604-S10-001L0032_good_R2.fastq.gz
D28_FGF2_NEURON_2	1	CP604-S10-001L0033_good_R1.fastq.gz	CP604-S10-001L0033_good_R2.fastq.gz
D28_FGF2_NEURON_3	1	CP604-S10-001L0034_good_R1.fastq.gz	CP604-S10-001L0034_good_R2.fastq.gz
D28_NGN2_NEURON_1	1	CP604-S10-001L0035_good_R1.fastq.gz	CP604-S10-001L0035_good_R2.fastq.gz
D28_NGN2_NEURON_2	1	CP604-S10-001L0036_good_R1.fastq.gz	CP604-S10-001L0036_good_R2.fastq.gz
D28_NGN2_NEURON_3	1	CP604-S10-001L0037_good_R1.fastq.gz	CP604-S10-001L0037_good_R2.fastq.gz
D28_NGN2_NEURON_4	1	CP604-S10-001L0038_good_R1.fastq.gz	CP604-S10-001L0038_good_R2.fastq.gz
