Total Reads                   108383291
Total Tags                    144206158
Total Assigned Tags           135269207
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            66171448            1804.58           
5'UTR_Exons         69838693            9837700             140.86            
3'UTR_Exons         94555913            25490482            269.58            
Introns             1875272435          33201199            17.70             
TSS_up_1kb          26849677            32705               1.22              
TSS_up_5kb          120321950           83610               0.69              
TSS_up_10kb         212393150           122784              0.58              
TES_down_1kb        31509987            124426              3.95              
TES_down_5kb        133913777           332630              2.48              
TES_down_10kb       229952372           445594              1.94              
=====================================================================
