Total Reads                   108578357
Total Tags                    140901890
Total Assigned Tags           132263575
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            59771985            1630.06           
5'UTR_Exons         69838693            8700489             124.58            
3'UTR_Exons         94555913            22306565            235.91            
Introns             1875272435          40799724            21.76             
TSS_up_1kb          26849677            33906               1.26              
TSS_up_5kb          120321950           96481               0.80              
TSS_up_10kb         212393150           151966              0.72              
TES_down_1kb        31509987            132137              4.19              
TES_down_5kb        133913777           388068              2.90              
TES_down_10kb       229952372           532846              2.32              
=====================================================================
