Total Reads                   105902062
Total Tags                    143206501
Total Assigned Tags           134738810
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            69590325            1897.82           
5'UTR_Exons         69838693            8362607             119.74            
3'UTR_Exons         94555913            26977608            285.31            
Introns             1875272435          29096177            15.52             
TSS_up_1kb          26849677            54207               2.02              
TSS_up_5kb          120321950           115704              0.96              
TSS_up_10kb         212393150           160617              0.76              
TES_down_1kb        31509987            153746              4.88              
TES_down_5kb        133913777           421674              3.15              
TES_down_10kb       229952372           551476              2.40              
=====================================================================
