Total Reads                   107757240
Total Tags                    141156724
Total Assigned Tags           132794579
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            62036698            1691.82           
5'UTR_Exons         69838693            9151273             131.03            
3'UTR_Exons         94555913            25637845            271.14            
Introns             1875272435          35181359            18.76             
TSS_up_1kb          26849677            57365               2.14              
TSS_up_5kb          120321950           128518              1.07              
TSS_up_10kb         212393150           179997              0.85              
TES_down_1kb        31509987            192313              6.10              
TES_down_5kb        133913777           467213              3.49              
TES_down_10kb       229952372           607407              2.64              
=====================================================================
