Total Reads                   107883835
Total Tags                    142107617
Total Assigned Tags           133516350
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            64033490            1746.27           
5'UTR_Exons         69838693            9140654             130.88            
3'UTR_Exons         94555913            26175591            276.83            
Introns             1875272435          33448356            17.84             
TSS_up_1kb          26849677            44617               1.66              
TSS_up_5kb          120321950           114275              0.95              
TSS_up_10kb         212393150           170418              0.80              
TES_down_1kb        31509987            144985              4.60              
TES_down_5kb        133913777           410300              3.06              
TES_down_10kb       229952372           547841              2.38              
=====================================================================
